DICE,3.960,00,-,-,-,-,3.960,00,3.960,00,3.960,00,0,00,0,00 %
DICP,1.285,00,-,-,-,-,1.295,00,1.280,00,1.283,00,63.606.282,16,-0,07 %
DICY,7.749,00,-,-,-,-,7.800,00,7.554,00,7.749,00,6.163.497,59,25,40 %
DICYD,66,50,-,-,-,-,68,30,66,50,66,50,230.891,04,25,40 %
DIP0,1.190,00,-,-,-,-,1.190,00,1.190,00,1.190,00,0,00,1,09 %
DIY0,7.200,00,-,-,-,-,7.200,00,7.200,00,7.200,00,18.000,00,31,73 %
DIY0D,55,50,-,-,-,-,55,50,55,50,55,50,0,00,31,73 %
FORM3,1.050,00,-,-,-,-,1.050,00,1.050,00,1.050,00,0,00,-30,11 %
IRC1O,100,00,-,-,-,-,0,00,0,00,0,00,0,00,0,00 %
NO20,93,00,-,-,-,-,93,00,93,00,93,00,0,00,-92,71 %
NRH2,903,50,-,-,-,-,903,50,903,50,903,50,0,00,-63,17 %
ONCTG_6,100,00,-,-,-,-,0,00,0,00,100,00,0,00,0,00 %
PAA0,3.355,00,-,-,-,-,3.355,00,3.290,00,2.445,41,368.642,90,20,59 %
PAA0D,27,00,-,-,-,-,27,00,27,00,27,00,285,12,20,59 %
PAP0,450,00,-,-,-,-,450,00,450,00,450,00,0,00,4,70 %
PARA,3.480,00,-,-,-,-,3.500,00,3.410,00,3.419,00,4.158.284,10,18,86 %
PARAD,30,24,-,-,-,-,30,70,30,00,30,24,39.301,41,18,86 %
PARP,520,00,-,-,-,-,520,00,515,00,520,00,1.060.661,20,3,51 %
PARY,4.405,00,-,-,-,-,4.530,00,4.300,00,4.405,00,11.879.146,41,15,18 %
PARYD,38,25,-,-,-,-,39,25,37,00,38,25,275.867,00,15,18 %
PAY0,3.850,00,-,-,-,-,3.850,00,3.850,00,3.850,00,0,00,17,41 %
PAY0D,33,00,-,-,-,-,33,00,33,00,33,00,0,00,17,41 %
PBA25,61,69,-,-,-,-,62,50,60,60,59,73,201.827.527,60,0,00 %
PBF23,3.900,00,-,-,-,-,3.900,00,3.650,00,3.900,00,1.028.450,00,12,76 %
PBJ21,3.593,72,-,-,-,-,0,00,0,00,3.593,72,0,00,16,99 %
PBJ27,3.500,00,-,-,-,-,3.500,00,3.500,00,3.500,00,0,00,0,00 %
